epoch,duration_s,peak_db,confidence,clip
1780987663,29,46.5,0.996,1780987663.wav
1780986152,32,54.9,0.996,1780986152.wav
1780981998,33,46.2,0.996,1780981998.wav
1780970723,14,42.6,0.996,1780970723.wav
1780956886,17,42.2,0.996,1780956886.wav
1780952317,10,64.6,0.996,1780952317.wav
1780951811,32,64.6,0.996,1780951811.wav
1780949358,26,58,0.996,1780949358.wav
1780949168,50,52.1,0.996,1780949168.wav
1780948609,39,63.4,0.996,1780948609.wav
1780948255,37,53.8,0.996,1780948255.wav
1780946785,18,47.6,0.996,1780946785.wav
1780945986,40,61.8,0.996,1780945986.wav
1780943340,16,63.7,0.996,1780943340.wav
1780930729,74,72.5,0.996,1780930729.wav
1780930211,51,72.5,0.996,1780930211.wav
1780928539,41,69.9,0.996,1780928539.wav
1780926493,34,67.4,0.996,1780926493.wav
1780924751,32,68.7,0.996,1780924751.wav
1780923099,38,63.6,0.996,1780923099.wav
1780922600,38,70.4,0.996,1780922600.wav
1780916809,13,61.8,0.996,1780916809.wav
1780915097,55,70.6,0.996,1780915097.wav
1780913861,33,83.9,0.996,1780913861.wav
1780913198,45,70,0.996,1780913198.wav
1780906263,47,73.1,0.996,1780906263.wav
1780905033,13,67.8,0.996,1780905033.wav
1780903239,16,61.8,0.996,1780903239.wav
1780903120,42,74.5,0.996,1780903120.wav
1780900998,35,49.4,0.996,1780900998.wav
1780900239,32,51.9,0.996,1780900239.wav
1780894459,10,43,0.996,1780894459.wav
1780877059,27,46.4,0.996,1780877059.wav
1780865794,31,54.7,0.996,1780865794.wav
1780862833,23,50.5,0.996,1780862833.wav
1780861388,27,63.3,0.996,1780861388.wav
1780859503,20,60.8,0.996,1780859503.wav
1780855240,29,68.2,0.996,1780855240.wav
1780853160,18,66,0.996,1780853160.wav
1780850867,14,63.3,0.996,1780850867.wav
1780846302,39,71.6,0.996,1780846302.wav
1780840272,40,61.1,0.996,1780840272.wav
1780839561,27,55.4,0.996,1780839561.wav
1780838806,43,61.9,0.996,1780838806.wav
1780838296,34,56.8,0.996,1780838296.wav
1780836447,37,60,0.996,1780836447.wav
1780835480,52,61.1,0.996,1780835480.wav
1780825842,37,70.8,0.996,1780825842.wav
1780825775,39,70.6,0.996,1780825775.wav
1780821532,31,59.3,0.996,1780821532.wav
1780818887,17,46.1,0.996,1780818887.wav
1780817409,29,59.7,0.996,1780817409.wav
1780812309,33,57.4,0.996,1780812309.wav
1780812019,29,59.1,0.996,1780812019.wav
1780811052,33,59.1,0.996,1780811052.wav
1780809488,32,59.3,0.996,1780809488.wav
1780796261,37,42.6,0.996,1780796261.wav
1780771695,18,60.1,0.996,1780771695.wav
1780769291,39,68.7,0.996,1780769291.wav
1780769183,39,73.8,0.996,1780769183.wav
1780765918,25,60.7,0.996,1780765918.wav
1780760569,30,64.4,0.996,1780760569.wav
1780754426,28,58.9,0.996,1780754426.wav
1780754102,21,60.2,0.996,1780754102.wav
1780753548,34,65,0.996,1780753548.wav
1780751536,44,53,0.996,1780751536.wav
1780751298,84,64.7,0.996,1780751298.wav
1780749065,27,56.2,0.996,1780749065.wav
1780748507,36,49.4,0.996,1780748507.wav
1780747829,16,48.8,0.996,1780747829.wav
1780746283,17,59.6,0.996,1780746283.wav
1780745293,39,63.4,0.996,1780745293.wav
1780744876,23,61.6,0.996,1780744876.wav
1780741884,48,70.5,0.996,1780741884.wav
1780739262,42,70.5,0.996,1780739262.wav
1780738565,32,71.2,0.996,1780738565.wav
1780737644,40,70.2,0.996,1780737644.wav
1780731975,35,53,0.996,1780731975.wav
1780731326,28,54.8,0.996,1780731326.wav
1780730832,26,58.5,0.996,1780730832.wav
1780727333,25,47.4,0.996,1780727333.wav
1780725328,31,57.3,0.996,1780725328.wav
1780697332,23,53.8,0.996,1780697332.wav
